"Step","visionary-plant-6 - step_crash","visionary-plant-6 - step_crash__MIN","visionary-plant-6 - step_crash__MAX"
"6621","1","1","1"
"6628","2","2","2"
"6635","2","2","2"
"6642","2","2","2"
"6649","0","0","0"
"6656","1","1","1"
"6663","2","2","2"
"6670","3","3","3"
"6677","1","1","1"
"6684","1","1","1"
"6691","0","0","0"
"6698","0","0","0"
"6705","1","1","1"
"6712","1","1","1"
"6719","0","0","0"
"6726","2","2","2"
"6733","2","2","2"
"6740","2","2","2"
"6747","1","1","1"
"6754","0","0","0"
"6761","1","1","1"
"6768","1","1","1"
"6775","0","0","0"
"6782","2","2","2"
"6789","1","1","1"
"6796","0","0","0"
"6803","3","3","3"
"6810","1","1","1"
"6817","1","1","1"
"6824","0","0","0"
"6831","1","1","1"
"6838","0","0","0"
"6845","0","0","0"
"6852","2","2","2"
"6859","1","1","1"
"6866","0","0","0"
"6873","0","0","0"
"6880","0","0","0"
"6887","1","1","1"
"6894","0","0","0"
"6901","0","0","0"
"6908","1","1","1"
"6915","0","0","0"
"6922","0","0","0"
"6929","0","0","0"
"6936","0","0","0"
"6943","1","1","1"
"6950","1","1","1"
"6957","0","0","0"
"6964","1","1","1"
"6971","1","1","1"
"6978","1","1","1"
"6985","1","1","1"
"6992","0","0","0"
"6999","0","0","0"
"7010","1","1","1"
"7017","0","0","0"
"7024","0","0","0"
"7031","0","0","0"
"7038","0","0","0"
"7045","0","0","0"
"7052","1","1","1"
"7059","0","0","0"
"7066","1","1","1"
"7073","0","0","0"
"7080","2","2","2"
"7087","0","0","0"
"7094","1","1","1"
"7101","0","0","0"
"7108","0","0","0"
"7115","2","2","2"
"7122","0","0","0"
"7129","0","0","0"
"7136","0","0","0"
"7143","0","0","0"
"7150","1","1","1"
"7157","0","0","0"
"7164","1","1","1"
"7171","0","0","0"
"7178","0","0","0"
"7185","0","0","0"
"7192","0","0","0"
"7199","0","0","0"
"7206","0","0","0"
"7213","1","1","1"
"7220","0","0","0"
"7227","0","0","0"
"7234","1","1","1"
"7241","0","0","0"
"7248","0","0","0"
"7255","0","0","0"
"7262","1","1","1"
"7269","1","1","1"
"7276","0","0","0"
"7283","1","1","1"
"7290","0","0","0"
"7297","0","0","0"
"7304","0","0","0"
"7311","0","0","0"
"7318","1","1","1"
"7325","0","0","0"
"7332","1","1","1"
"7339","1","1","1"
"7346","0","0","0"
"7353","1","1","1"
"7360","1","1","1"
"7367","1","1","1"
"7374","0","0","0"
"7381","0","0","0"
"7388","0","0","0"
"7395","0","0","0"
"7402","0","0","0"
"7409","2","2","2"
"7416","0","0","0"
"7423","0","0","0"
"7430","0","0","0"
"7437","0","0","0"
"7444","1","1","1"
"7451","0","0","0"
"7458","1","1","1"
"7465","1","1","1"
"7472","0","0","0"
"7479","1","1","1"
"7486","0","0","0"
"7493","0","0","0"
"7500","1","1","1"
"7507","0","0","0"
"7514","0","0","0"
"7521","0","0","0"
"7528","0","0","0"
"7535","0","0","0"
"7542","0","0","0"
"7549","1","1","1"
"7556","2","2","2"
"7563","0","0","0"
"7570","1","1","1"
"7577","0","0","0"
"7584","1","1","1"
"7591","1","1","1"
"7598","0","0","0"
"7605","1","1","1"
"7612","2","2","2"
"7619","0","0","0"
"7626","0","0","0"
"7633","0","0","0"
"7640","0","0","0"
"7647","0","0","0"
"7654","0","0","0"
"7661","0","0","0"
"7676","2","2","2"
"7683","1","1","1"
"7690","0","0","0"
"7697","0","0","0"
"7704","0","0","0"
"7711","0","0","0"
"7718","0","0","0"
"7725","0","0","0"
"7732","1","1","1"
"7739","1","1","1"
"7746","1","1","1"
"7753","0","0","0"
"7760","0","0","0"
"7767","0","0","0"
"7774","0","0","0"
"7781","0","0","0"
"7788","0","0","0"
"7795","0","0","0"
"7802","0","0","0"
"7809","0","0","0"
"7816","0","0","0"
"7823","1","1","1"
"7830","0","0","0"
"7837","0","0","0"
"7844","0","0","0"
"7851","0","0","0"
"7858","3","3","3"
"7865","1","1","1"
"7872","0","0","0"
"7879","0","0","0"
"7886","1","1","1"
"7893","1","1","1"
"7900","2","2","2"
"7907","0","0","0"
"7914","0","0","0"
"7921","0","0","0"
"7928","0","0","0"
"7935","0","0","0"
"7942","0","0","0"
"7949","0","0","0"
"7956","1","1","1"
"7963","0","0","0"
"7970","0","0","0"
"7977","0","0","0"
"7984","0","0","0"
"7991","1","1","1"
"7998","0","0","0"
"8005","0","0","0"
"8012","0","0","0"
"8019","0","0","0"
"8026","0","0","0"
"8033","1","1","1"
"8040","1","1","1"
"8047","1","1","1"
"8054","0","0","0"
"8061","0","0","0"
"8068","0","0","0"
"8075","0","0","0"
"8082","1","1","1"
"8089","0","0","0"
"8096","0","0","0"
"8103","0","0","0"
"8110","0","0","0"
"8117","2","2","2"
"8124","0","0","0"
"8131","0","0","0"
"8138","1","1","1"
"8145","0","0","0"
"8152","0","0","0"
"8159","0","0","0"
"8166","0","0","0"
"8173","1","1","1"
"8180","0","0","0"
"8187","0","0","0"
"8194","0","0","0"
"8201","0","0","0"
"8208","0","0","0"
"8215","0","0","0"
"8222","0","0","0"
"8229","0","0","0"
"8236","0","0","0"
"8243","0","0","0"
"8250","0","0","0"
"8257","0","0","0"
"8264","0","0","0"
"8271","0","0","0"
"8278","0","0","0"
"8285","1","1","1"
"8292","0","0","0"
"8299","0","0","0"
"8306","0","0","0"
"8313","1","1","1"
"8320","0","0","0"
"8327","0","0","0"
"8334","0","0","0"
"8341","0","0","0"
"8348","0","0","0"
"8355","0","0","0"
"8362","0","0","0"
"8369","0","0","0"
"8376","1","1","1"
"8383","0","0","0"
"8390","0","0","0"
"8397","0","0","0"
"8404","0","0","0"
"8411","0","0","0"
"8418","0","0","0"
"8425","0","0","0"
"8432","0","0","0"
"8439","0","0","0"
"8446","1","1","1"
"8453","0","0","0"
"8460","0","0","0"
"8467","0","0","0"
"8474","0","0","0"
"8481","0","0","0"
"8488","0","0","0"
"8495","0","0","0"
"8502","1","1","1"
"8509","1","1","1"
"8516","0","0","0"
"8523","0","0","0"
"8530","0","0","0"
"8537","0","0","0"
"8544","0","0","0"
"8551","0","0","0"
"8558","0","0","0"
"8565","0","0","0"
"8572","0","0","0"
"8579","0","0","0"
"8586","0","0","0"
"8601","0","0","0"
"8608","0","0","0"
"8615","0","0","0"
"8622","0","0","0"
"8629","0","0","0"
"8636","1","1","1"
"8643","0","0","0"
"8650","0","0","0"
"8657","0","0","0"
"8664","0","0","0"
"8671","0","0","0"
"8678","0","0","0"
"8685","0","0","0"
"8692","0","0","0"
"8699","0","0","0"
"8706","0","0","0"
"8713","0","0","0"
"8720","0","0","0"
"8727","0","0","0"
"8734","0","0","0"
"8741","1","1","1"
"8748","0","0","0"
"8755","0","0","0"
"8762","1","1","1"
"8769","0","0","0"
"8776","0","0","0"
"8783","0","0","0"
"8794","0","0","0"
"8801","0","0","0"
"8808","0","0","0"
"8815","0","0","0"
"8822","1","1","1"
"8829","0","0","0"
"8836","0","0","0"
"8843","0","0","0"
"8850","0","0","0"
"8857","0","0","0"
"8864","0","0","0"
"8871","0","0","0"
"8878","0","0","0"
"8885","0","0","0"
"8892","1","1","1"
"8899","0","0","0"
