"Step","eager-universe-7 - Smallest CBF constraint(unfiltered)","eager-universe-7 - Smallest CBF constraint(unfiltered)__MIN","eager-universe-7 - Smallest CBF constraint(unfiltered)__MAX"
"795","-0.8666088581085205","-0.8666088581085205","-0.8666088581085205"
"797","-0.867858350276947","-0.867858350276947","-0.867858350276947"
"799","-0.3572233319282532","-0.3572233319282532","-0.3572233319282532"
"801","-0.464974582195282","-0.464974582195282","-0.464974582195282"
"803","-0.7499147653579712","-0.7499147653579712","-0.7499147653579712"
"805","-1.4883100986480713","-1.4883100986480713","-1.4883100986480713"
"807","-0.877533495426178","-0.877533495426178","-0.877533495426178"
"809","-0.5656560659408569","-0.5656560659408569","-0.5656560659408569"
"811","-1.6180771589279175","-1.6180771589279175","-1.6180771589279175"
"813","-0.5510642528533936","-0.5510642528533936","-0.5510642528533936"
"815","-0.8659573793411255","-0.8659573793411255","-0.8659573793411255"
"817","-0.6842538118362427","-0.6842538118362427","-0.6842538118362427"
"819","-0.6419900059700012","-0.6419900059700012","-0.6419900059700012"
"821","-0.6371473073959351","-0.6371473073959351","-0.6371473073959351"
"823","-0.6539380550384521","-0.6539380550384521","-0.6539380550384521"
"825","-1.1255803108215332","-1.1255803108215332","-1.1255803108215332"
