"Step","still-disco-8 - global_step","still-disco-8 - global_step__MIN","still-disco-8 - global_step__MAX"
"25951","3178496","3178496","3178496"
"25952","3194880","3194880","3194880"
"25953","3194880","3194880","3194880"
"25954","3194880","3194880","3194880"
"26272","3194880","3194880","3194880"
"26273","3211264","3211264","3211264"
"26274","3211264","3211264","3211264"
"26275","3211264","3211264","3211264"
"26276","3211264","3211264","3211264"
"26277","3227648","3227648","3227648"
"26278","3227648","3227648","3227648"
"26279","3227648","3227648","3227648"
"26584","3227648","3227648","3227648"
"26585","3244032","3244032","3244032"
"26586","3244032","3244032","3244032"
"26587","3244032","3244032","3244032"
"26588","3244032","3244032","3244032"
"26589","3260416","3260416","3260416"
"26590","3260416","3260416","3260416"
"26591","3260416","3260416","3260416"
"26600","3260416","3260416","3260416"
"26601","3276800","3276800","3276800"
"26602","3276800","3276800","3276800"
"26603","3276800","3276800","3276800"
"26918","3276800","3276800","3276800"
"26920","3293184","3293184","3293184"
"26921","3293184","3293184","3293184"
"26922","3293184","3293184","3293184"
"26923","3293184","3293184","3293184"
"26924","3309568","3309568","3309568"
"26925","3309568","3309568","3309568"
"26926","3309568","3309568","3309568"
"27241","3309568","3309568","3309568"
"27242","3325952","3325952","3325952"
"27243","3325952","3325952","3325952"
"27244","3325952","3325952","3325952"
"27245","3325952","3325952","3325952"
"27246","3342336","3342336","3342336"
"27247","3342336","3342336","3342336"
"27248","3342336","3342336","3342336"
"27511","3342336","3342336","3342336"
"27512","3358720","3358720","3358720"
"27513","3358720","3358720","3358720"
"27514","3358720","3358720","3358720"
"27515","3358720","3358720","3358720"
"27516","3375104","3375104","3375104"
"27517","3375104","3375104","3375104"
"27518","3375104","3375104","3375104"
"27575","3375104","3375104","3375104"
"27576","3391488","3391488","3391488"
"27577","3391488","3391488","3391488"
"27578","3391488","3391488","3391488"
"27894","3391488","3391488","3391488"
"27895","3407872","3407872","3407872"
"27896","3407872","3407872","3407872"
"27897","3407872","3407872","3407872"
"27898","3407872","3407872","3407872"
"27899","3424256","3424256","3424256"
"27900","3424256","3424256","3424256"
"27901","3424256","3424256","3424256"
"28172","3424256","3424256","3424256"
"28173","3440640","3440640","3440640"
"28174","3440640","3440640","3440640"
"28175","3440640","3440640","3440640"
"28176","3440640","3440640","3440640"
"28177","3457024","3457024","3457024"
"28178","3457024","3457024","3457024"
"28179","3457024","3457024","3457024"
"28225","3457024","3457024","3457024"
"28226","3473408","3473408","3473408"
"28227","3473408","3473408","3473408"
"28228","3473408","3473408","3473408"
"28541","3473408","3473408","3473408"
"28542","3489792","3489792","3489792"
"28543","3489792","3489792","3489792"
"28544","3489792","3489792","3489792"
