"Step","still-disco-8 - step_crash","still-disco-8 - step_crash__MIN","still-disco-8 - step_crash__MAX"
"3534","0","0","0"
"3536","1","1","1"
"3540","2","2","2"
"3542","0","0","0"
"3558","0","0","0"
"3560","1","1","1"
"3564","0","0","0"
"3568","0","0","0"
"3570","0","0","0"
"3572","0","0","0"
"3574","0","0","0"
"3576","0","0","0"
"3580","0","0","0"
"3590","0","0","0"
"3594","0","0","0"
"3598","0","0","0"
"3602","0","0","0"
"3610","1","1","1"
"3614","0","0","0"
"3618","0","0","0"
"3620","0","0","0"
"3622","0","0","0"
"3624","0","0","0"
"3626","0","0","0"
"3628","0","0","0"
"3632","0","0","0"
"3634","1","1","1"
"3636","0","0","0"
"3638","1","1","1"
"3642","0","0","0"
"3646","0","0","0"
"3648","0","0","0"
"3650","0","0","0"
"3652","0","0","0"
"3654","1","1","1"
"3658","0","0","0"
"3660","0","0","0"
"3662","0","0","0"
"3666","0","0","0"
"3670","0","0","0"
"3674","0","0","0"
"3678","0","0","0"
"3680","0","0","0"
"3684","0","0","0"
"3686","2","2","2"
"3690","0","0","0"
"3700","0","0","0"
"3704","0","0","0"
"3708","1","1","1"
"3710","0","0","0"
"3722","1","1","1"
"3726","0","0","0"
"3728","0","0","0"
"3730","0","0","0"
"3736","0","0","0"
"3744","0","0","0"
"3748","0","0","0"
"3750","0","0","0"
"3752","0","0","0"
"3754","0","0","0"
"3756","0","0","0"
"3758","0","0","0"
"3764","0","0","0"
"3768","0","0","0"
"3774","0","0","0"
"3776","0","0","0"
"3778","1","1","1"
"3780","0","0","0"
"3786","0","0","0"
"3788","0","0","0"
"3792","0","0","0"
"3794","0","0","0"
"3798","0","0","0"
"3802","0","0","0"
"3804","0","0","0"
"3808","0","0","0"
"3812","0","0","0"
"3818","0","0","0"
"3820","0","0","0"
"3822","0","0","0"
"3826","0","0","0"
"3828","0","0","0"
"3830","1","1","1"
"3832","0","0","0"
"3854","0","0","0"
"3856","1","1","1"
"3858","0","0","0"
"3860","1","1","1"
"3862","0","0","0"
"3870","0","0","0"
"3872","0","0","0"
"3874","0","0","0"
"3878","0","0","0"
"3880","0","0","0"
"3888","0","0","0"
"3890","0","0","0"
"3892","0","0","0"
"3894","0","0","0"
"3898","0","0","0"
"3904","0","0","0"
"3910","0","0","0"
"3914","0","0","0"
"3916","0","0","0"
"3924","0","0","0"
"3926","0","0","0"
"3928","0","0","0"
"3932","0","0","0"
"3940","0","0","0"
"3942","0","0","0"
"3944","0","0","0"
"3948","0","0","0"
"3950","0","0","0"
"3952","0","0","0"
"3962","0","0","0"
"3966","0","0","0"
"3968","0","0","0"
"3970","0","0","0"
"3972","0","0","0"
"3974","1","1","1"
"3976","0","0","0"
"3980","0","0","0"
"3984","0","0","0"
"3986","0","0","0"
"3988","0","0","0"
"3992","0","0","0"
"3994","0","0","0"
"4004","0","0","0"
"4006","0","0","0"
"4010","0","0","0"
"4012","0","0","0"
"4014","0","0","0"
"4022","0","0","0"
"4028","0","0","0"
"4030","0","0","0"
"4032","0","0","0"
"4034","0","0","0"
"4038","0","0","0"
"4040","0","0","0"
"4044","0","0","0"
"4048","0","0","0"
"4054","0","0","0"
"4056","0","0","0"
"4068","0","0","0"
"4070","0","0","0"
"4074","1","1","1"
"4076","0","0","0"
"4078","0","0","0"
"4080","0","0","0"
"4088","0","0","0"
"4090","0","0","0"
"4096","0","0","0"
"4098","0","0","0"
"4102","0","0","0"
"4106","0","0","0"
"4110","0","0","0"
"4114","0","0","0"
"4116","1","1","1"
"4118","1","1","1"
"4120","0","0","0"
"4130","0","0","0"
"4132","0","0","0"
"4136","0","0","0"
"4138","0","0","0"
"4140","1","1","1"
"4150","0","0","0"
"4154","0","0","0"
"4156","0","0","0"
"4168","0","0","0"
"4170","0","0","0"
"4176","0","0","0"
"4180","0","0","0"
"4182","0","0","0"
"4184","1","1","1"
"4188","1","1","1"
"4190","0","0","0"
"4192","0","0","0"
"4194","1","1","1"
"4196","1","1","1"
"4198","1","1","1"
"4214","0","0","0"
"4218","0","0","0"
"4220","0","0","0"
"4222","0","0","0"
"4228","0","0","0"
"4234","0","0","0"
"4236","0","0","0"
"4240","0","0","0"
"4242","0","0","0"
"4244","0","0","0"
"4248","0","0","0"
"4256","0","0","0"
"4260","0","0","0"
"4266","0","0","0"
"4268","0","0","0"
"4272","0","0","0"
"4276","0","0","0"
"4278","0","0","0"
"4286","0","0","0"
"4288","0","0","0"
"4296","0","0","0"
"4298","0","0","0"
"4302","0","0","0"
"4306","0","0","0"
"4310","0","0","0"
"4312","0","0","0"
"4324","0","0","0"
"4326","0","0","0"
"4336","0","0","0"
"4340","0","0","0"
"4342","0","0","0"
"4346","0","0","0"
"4356","0","0","0"
"4360","0","0","0"
"4362","0","0","0"
"4364","0","0","0"
"4366","0","0","0"
"4372","0","0","0"
"4374","0","0","0"
"4378","0","0","0"
"4380","0","0","0"
"4386","0","0","0"
"4388","0","0","0"
"4390","0","0","0"
"4392","0","0","0"
"4394","0","0","0"
"4398","0","0","0"
"4400","0","0","0"
"4404","0","0","0"
"4406","0","0","0"
"4408","0","0","0"
"4414","0","0","0"
"4416","0","0","0"
"4420","0","0","0"
"4436","0","0","0"
"4440","0","0","0"
"4442","0","0","0"
"4444","1","1","1"
"4446","0","0","0"
"4452","0","0","0"
"4456","1","1","1"
"4458","0","0","0"
"4460","0","0","0"
"4464","0","0","0"
"4470","0","0","0"
"4472","0","0","0"
"4474","0","0","0"
"4476","0","0","0"
"4482","0","0","0"
"4484","0","0","0"
"4486","0","0","0"
"4492","0","0","0"
"4498","0","0","0"
"4502","0","0","0"
"4512","0","0","0"
"4516","1","1","1"
"4520","0","0","0"
"4522","0","0","0"
"4524","0","0","0"
"4526","0","0","0"
"4534","0","0","0"
"4538","0","0","0"
"4540","0","0","0"
"4546","0","0","0"
"4548","0","0","0"
"4550","0","0","0"
"4552","0","0","0"
"4558","0","0","0"
"4562","0","0","0"
"4564","0","0","0"
"4566","0","0","0"
"4574","0","0","0"
"4578","0","0","0"
"4580","0","0","0"
"4582","0","0","0"
"4584","0","0","0"
"4586","0","0","0"
"4588","0","0","0"
"4592","0","0","0"
"4596","0","0","0"
"4600","0","0","0"
"4604","0","0","0"
"4606","0","0","0"
"4608","0","0","0"
"4610","0","0","0"
"4614","0","0","0"
"4624","0","0","0"
"4628","0","0","0"
"4630","0","0","0"
"4636","0","0","0"
"4638","0","0","0"
"4644","0","0","0"
"4646","0","0","0"
"4652","0","0","0"
"4656","0","0","0"
"4670","0","0","0"
"4674","0","0","0"
"4678","0","0","0"
"4686","0","0","0"
"4694","0","0","0"
"4698","0","0","0"
"4700","0","0","0"
"4702","0","0","0"
"4704","0","0","0"
"4710","0","0","0"
"4714","0","0","0"
"4718","0","0","0"
"4720","0","0","0"
"4724","0","0","0"
"4726","0","0","0"
"4730","0","0","0"
"4736","0","0","0"
"4740","0","0","0"
"4742","0","0","0"
"4744","0","0","0"
"4748","0","0","0"
"4750","0","0","0"
"4756","0","0","0"
"4762","0","0","0"
"4764","0","0","0"
"4768","0","0","0"
"4770","0","0","0"
"4772","0","0","0"
"4776","0","0","0"
"4778","0","0","0"
"4780","0","0","0"
"4782","0","0","0"
"4784","1","1","1"
"4788","0","0","0"
"4798","0","0","0"
"4802","0","0","0"
"4806","0","0","0"
"4810","0","0","0"
"4812","0","0","0"
"4814","0","0","0"
"4818","1","1","1"
"4824","0","0","0"
