"Step","still-disco-8 - Smallest CBF value","still-disco-8 - Smallest CBF value__MIN","still-disco-8 - Smallest CBF value__MAX"
"1423","-0.2687428295612335","-0.2687428295612335","-0.2687428295612335"
"1425","-0.20176561176776886","-0.20176561176776886","-0.20176561176776886"
"1427","-0.255656898021698","-0.255656898021698","-0.255656898021698"
"1429","-0.2640387713909149","-0.2640387713909149","-0.2640387713909149"
"1433","-0.2413516342639923","-0.2413516342639923","-0.2413516342639923"
"1435","-0.26754605770111084","-0.26754605770111084","-0.26754605770111084"
"1437","-0.3083076775074005","-0.3083076775074005","-0.3083076775074005"
"1439","-0.2539597451686859","-0.2539597451686859","-0.2539597451686859"
"1447","-0.2717417776584625","-0.2717417776584625","-0.2717417776584625"
"1449","-0.2588542103767395","-0.2588542103767395","-0.2588542103767395"
"1451","-0.2645059823989868","-0.2645059823989868","-0.2645059823989868"
"1453","-0.2413417249917984","-0.2413417249917984","-0.2413417249917984"
"1455","-0.27835890650749207","-0.27835890650749207","-0.27835890650749207"
"1457","-0.2464180290699005","-0.2464180290699005","-0.2464180290699005"
"1459","-0.23331226408481598","-0.23331226408481598","-0.23331226408481598"
"1461","-0.19746576249599457","-0.19746576249599457","-0.19746576249599457"
"1463","-0.2737922668457031","-0.2737922668457031","-0.2737922668457031"
"1465","-0.2467256337404251","-0.2467256337404251","-0.2467256337404251"
"1475","-0.2917501628398895","-0.2917501628398895","-0.2917501628398895"
"1477","-0.2569718658924103","-0.2569718658924103","-0.2569718658924103"
"1481","-0.2356666773557663","-0.2356666773557663","-0.2356666773557663"
"1489","-0.2721470892429352","-0.2721470892429352","-0.2721470892429352"
"1493","-0.22794178128242493","-0.22794178128242493","-0.22794178128242493"
"1495","-0.2842370867729187","-0.2842370867729187","-0.2842370867729187"
"1499","-0.28444406390190125","-0.28444406390190125","-0.28444406390190125"
"1501","-0.22890472412109375","-0.22890472412109375","-0.22890472412109375"
"1503","-0.2820686995983124","-0.2820686995983124","-0.2820686995983124"
"1505","-0.31230539083480835","-0.31230539083480835","-0.31230539083480835"
"1509","-0.22742702066898346","-0.22742702066898346","-0.22742702066898346"
"1511","-0.25885605812072754","-0.25885605812072754","-0.25885605812072754"
"1513","-0.2709847092628479","-0.2709847092628479","-0.2709847092628479"
