"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"1021","-0.3939903974533081","-0.3939903974533081","-0.3939903974533081"
"1025","-1.119981288909912","-1.119981288909912","-1.119981288909912"
"1031","-0.7952883243560791","-0.7952883243560791","-0.7952883243560791"
"1035","-0.9378565549850464","-0.9378565549850464","-0.9378565549850464"
"1037","-0.34518274664878845","-0.34518274664878845","-0.34518274664878845"
"1041","-0.9675111174583435","-0.9675111174583435","-0.9675111174583435"
"1045","-1.0871803760528564","-1.0871803760528564","-1.0871803760528564"
"1049","-1.906359076499939","-1.906359076499939","-1.906359076499939"
"1051","-0.708846390247345","-0.708846390247345","-0.708846390247345"
"1057","-1.3334096670150757","-1.3334096670150757","-1.3334096670150757"
"1059","-0.9272005558013916","-0.9272005558013916","-0.9272005558013916"
"1069","-1.0248677730560303","-1.0248677730560303","-1.0248677730560303"
"1071","-1.465256690979004","-1.465256690979004","-1.465256690979004"
"1073","-0.30541956424713135","-0.30541956424713135","-0.30541956424713135"
"1079","-0.674986720085144","-0.674986720085144","-0.674986720085144"
"1081","-0.7555317282676697","-0.7555317282676697","-0.7555317282676697"
"1083","-1.5362305641174316","-1.5362305641174316","-1.5362305641174316"
"1089","-1.0994396209716797","-1.0994396209716797","-1.0994396209716797"
"1091","-0.35257914662361145","-0.35257914662361145","-0.35257914662361145"
"1093","-0.8178538084030151","-0.8178538084030151","-0.8178538084030151"
"1103","-0.9089751839637756","-0.9089751839637756","-0.9089751839637756"
"1111","-0.4827005863189697","-0.4827005863189697","-0.4827005863189697"
"1117","-1.3094608783721924","-1.3094608783721924","-1.3094608783721924"
"1119","-0.44918760657310486","-0.44918760657310486","-0.44918760657310486"
"1123","-1.0043108463287354","-1.0043108463287354","-1.0043108463287354"
"1125","-1.0721137523651123","-1.0721137523651123","-1.0721137523651123"
"1127","-1.3873414993286133","-1.3873414993286133","-1.3873414993286133"
"1129","-0.8552840948104858","-0.8552840948104858","-0.8552840948104858"
"1131","-1.4694465398788452","-1.4694465398788452","-1.4694465398788452"
"1135","-0.6565761566162109","-0.6565761566162109","-0.6565761566162109"
"1141","-0.44139495491981506","-0.44139495491981506","-0.44139495491981506"
"1143","-0.9495426416397095","-0.9495426416397095","-0.9495426416397095"
"1149","-0.6481246948242188","-0.6481246948242188","-0.6481246948242188"
"1153","-1.035495400428772","-1.035495400428772","-1.035495400428772"
"1159","-0.4049674868583679","-0.4049674868583679","-0.4049674868583679"
"1161","-1.2620863914489746","-1.2620863914489746","-1.2620863914489746"
"1165","-0.746997594833374","-0.746997594833374","-0.746997594833374"
"1167","-1.393093228340149","-1.393093228340149","-1.393093228340149"
"1169","-0.5828924775123596","-0.5828924775123596","-0.5828924775123596"
"1173","-0.3486906886100769","-0.3486906886100769","-0.3486906886100769"
"1175","-1.0692144632339478","-1.0692144632339478","-1.0692144632339478"
"1181","-0.26783469319343567","-0.26783469319343567","-0.26783469319343567"
"1183","-0.48180338740348816","-0.48180338740348816","-0.48180338740348816"
"1195","-1.3230336904525757","-1.3230336904525757","-1.3230336904525757"
"1197","-0.5589995384216309","-0.5589995384216309","-0.5589995384216309"
"1203","-0.13511306047439575","-0.13511306047439575","-0.13511306047439575"
"1205","-0.5848592519760132","-0.5848592519760132","-0.5848592519760132"
