"Step","resilient-blaze-9 - Smallest CBF value","resilient-blaze-9 - Smallest CBF value__MIN","resilient-blaze-9 - Smallest CBF value__MAX"
"1161","-0.2625691294670105","-0.2625691294670105","-0.2625691294670105"
"1163","-0.33141210675239563","-0.33141210675239563","-0.33141210675239563"
"1165","-0.1990881711244583","-0.1990881711244583","-0.1990881711244583"
"1171","-0.29800745844841003","-0.29800745844841003","-0.29800745844841003"
"1179","-0.28626880049705505","-0.28626880049705505","-0.28626880049705505"
"1181","-0.26982468366622925","-0.26982468366622925","-0.26982468366622925"
"1183","-0.3375075161457062","-0.3375075161457062","-0.3375075161457062"
"1185","-0.11300003528594971","-0.11300003528594971","-0.11300003528594971"
"1191","-0.277712345123291","-0.277712345123291","-0.277712345123291"
"1199","-0.16697484254837036","-0.16697484254837036","-0.16697484254837036"
"1203","-0.16659493744373322","-0.16659493744373322","-0.16659493744373322"
"1205","-0.22093623876571655","-0.22093623876571655","-0.22093623876571655"
"1209","-0.26835545897483826","-0.26835545897483826","-0.26835545897483826"
"1211","-0.27464669942855835","-0.27464669942855835","-0.27464669942855835"
"1215","-0.2267838418483734","-0.2267838418483734","-0.2267838418483734"
"1217","-0.19877973198890686","-0.19877973198890686","-0.19877973198890686"
"1221","-0.225533589720726","-0.225533589720726","-0.225533589720726"
"1227","-0.27220842242240906","-0.27220842242240906","-0.27220842242240906"
"1229","-0.26200082898139954","-0.26200082898139954","-0.26200082898139954"
"1233","-0.246532142162323","-0.246532142162323","-0.246532142162323"
"1237","-0.10033628344535828","-0.10033628344535828","-0.10033628344535828"
"1245","-0.2327137142419815","-0.2327137142419815","-0.2327137142419815"
"1247","-0.20514832437038422","-0.20514832437038422","-0.20514832437038422"
"1249","-0.16522668302059174","-0.16522668302059174","-0.16522668302059174"
"1251","-0.21436502039432526","-0.21436502039432526","-0.21436502039432526"
"1283","-0.17533834278583527","-0.17533834278583527","-0.17533834278583527"
"1285","-0.2657608985900879","-0.2657608985900879","-0.2657608985900879"
"1287","-0.2557883858680725","-0.2557883858680725","-0.2557883858680725"
"1289","-0.2491883635520935","-0.2491883635520935","-0.2491883635520935"
"1291","-0.28748375177383423","-0.28748375177383423","-0.28748375177383423"
"1299","-0.2362888902425766","-0.2362888902425766","-0.2362888902425766"
"1301","-0.22246907651424408","-0.22246907651424408","-0.22246907651424408"
"1305","-0.22237616777420044","-0.22237616777420044","-0.22237616777420044"
"1307","-0.28134849667549133","-0.28134849667549133","-0.28134849667549133"
"1311","-0.19893357157707214","-0.19893357157707214","-0.19893357157707214"
"1313","-0.24279247224330902","-0.24279247224330902","-0.24279247224330902"
"1317","-0.31495147943496704","-0.31495147943496704","-0.31495147943496704"
"1323","-0.14111480116844177","-0.14111480116844177","-0.14111480116844177"
"1327","-0.21088363230228424","-0.21088363230228424","-0.21088363230228424"
"1329","-0.22623851895332336","-0.22623851895332336","-0.22623851895332336"
"1331","-0.2492896020412445","-0.2492896020412445","-0.2492896020412445"
"1333","-0.18028363585472107","-0.18028363585472107","-0.18028363585472107"
"1341","-0.22298067808151245","-0.22298067808151245","-0.22298067808151245"
"1343","-0.19282253086566925","-0.19282253086566925","-0.19282253086566925"
"1347","-0.20965750515460968","-0.20965750515460968","-0.20965750515460968"
"1351","-0.2071899026632309","-0.2071899026632309","-0.2071899026632309"
"1355","-0.21458053588867188","-0.21458053588867188","-0.21458053588867188"
"1363","-0.2204739898443222","-0.2204739898443222","-0.2204739898443222"
"1365","-0.13575634360313416","-0.13575634360313416","-0.13575634360313416"
"1369","-0.18218591809272766","-0.18218591809272766","-0.18218591809272766"
"1373","-0.2372584491968155","-0.2372584491968155","-0.2372584491968155"
"1379","-0.14852343499660492","-0.14852343499660492","-0.14852343499660492"
