"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"53058","849.5755004882812","849.5755004882812","849.5755004882812"
"53062","792.3206787109375","792.3206787109375","792.3206787109375"
"53084","828.0096435546875","828.0096435546875","828.0096435546875"
"53400","852.283935546875","852.283935546875","852.283935546875"
"53404","804.90966796875","804.90966796875","804.90966796875"
"53720","853.560302734375","853.560302734375","853.560302734375"
"53724","854.5266723632812","854.5266723632812","854.5266723632812"
"53988","775.7655029296875","775.7655029296875","775.7655029296875"
"53992","837.47802734375","837.47802734375","837.47802734375"
"54048","853.0880126953125","853.0880126953125","853.0880126953125"
"54362","851.6925048828125","851.6925048828125","851.6925048828125"
"54366","814.1848754882812","814.1848754882812","814.1848754882812"
"54650","853.8013916015625","853.8013916015625","853.8013916015625"
"54654","836.328125","836.328125","836.328125"
"54694","830.7525634765625","830.7525634765625","830.7525634765625"
"55006","852.3370361328125","852.3370361328125","852.3370361328125"
"55010","859.7379760742188","859.7379760742188","859.7379760742188"
"55312","807.2163696289062","807.2163696289062","807.2163696289062"
"55316","850.544677734375","850.544677734375","850.544677734375"
"55332","863.4710693359375","863.4710693359375","863.4710693359375"
"55650","822.591064453125","822.591064453125","822.591064453125"
"55654","806.1471557617188","806.1471557617188","806.1471557617188"
"55970","828.130126953125","828.130126953125","828.130126953125"
"55974","842.2677001953125","842.2677001953125","842.2677001953125"
"56240","848.2457885742188","848.2457885742188","848.2457885742188"
"56244","821.4507446289062","821.4507446289062","821.4507446289062"
"56296","840.9653930664062","840.9653930664062","840.9653930664062"
"56614","831.9677124023438","831.9677124023438","831.9677124023438"
"56618","857.7930297851562","857.7930297851562","857.7930297851562"
"56902","867.0112915039062","867.0112915039062","867.0112915039062"
"56906","814.0572509765625","814.0572509765625","814.0572509765625"
"56944","830.2710571289062","830.2710571289062","830.2710571289062"
"57256","798.8967895507812","798.8967895507812","798.8967895507812"
"57260","856.76708984375","856.76708984375","856.76708984375"
"57562","876.1234130859375","876.1234130859375","876.1234130859375"
"57566","860.6102294921875","860.6102294921875","860.6102294921875"
"57584","827.9066162109375","827.9066162109375","827.9066162109375"
"57896","808.0673217773438","808.0673217773438","808.0673217773438"
"57900","839.171142578125","839.171142578125","839.171142578125"
"58220","869.4360961914062","869.4360961914062","869.4360961914062"
"58224","854.3798828125","854.3798828125","854.3798828125"
"58490","843.1969604492188","843.1969604492188","843.1969604492188"
"58494","828.2811279296875","828.2811279296875","828.2811279296875"
"58548","791.5821533203125","791.5821533203125","791.5821533203125"
"58864","798.9345703125","798.9345703125","798.9345703125"
"58868","824.6533203125","824.6533203125","824.6533203125"
"59152","841.9716796875","841.9716796875","841.9716796875"
"59156","848.0064086914062","848.0064086914062","848.0064086914062"
