"Step","restful-aardvark-1 - Smallest CBF value","restful-aardvark-1 - Smallest CBF value__MIN","restful-aardvark-1 - Smallest CBF value__MAX"
"522","-0.25457096099853516","-0.25457096099853516","-0.25457096099853516"
"524","-0.2853354513645172","-0.2853354513645172","-0.2853354513645172"
"526","-0.26190775632858276","-0.26190775632858276","-0.26190775632858276"
"528","-0.25814342498779297","-0.25814342498779297","-0.25814342498779297"
"530","-0.2795559763908386","-0.2795559763908386","-0.2795559763908386"
"532","-0.3115999400615692","-0.3115999400615692","-0.3115999400615692"
"534","-0.3361970782279968","-0.3361970782279968","-0.3361970782279968"
"536","-0.32566484808921814","-0.32566484808921814","-0.32566484808921814"
"538","-0.2618778347969055","-0.2618778347969055","-0.2618778347969055"
"540","-0.2158699780702591","-0.2158699780702591","-0.2158699780702591"
"542","-0.27961477637290955","-0.27961477637290955","-0.27961477637290955"
"544","-0.21274107694625854","-0.21274107694625854","-0.21274107694625854"
"546","-0.23134861886501312","-0.23134861886501312","-0.23134861886501312"
"548","-0.27982866764068604","-0.27982866764068604","-0.27982866764068604"
"550","-0.19965477287769318","-0.19965477287769318","-0.19965477287769318"
"552","-0.26814931631088257","-0.26814931631088257","-0.26814931631088257"
"554","-0.26553812623023987","-0.26553812623023987","-0.26553812623023987"
"556","-0.28001469373703003","-0.28001469373703003","-0.28001469373703003"
"558","-0.27195173501968384","-0.27195173501968384","-0.27195173501968384"
"560","-0.20534448325634003","-0.20534448325634003","-0.20534448325634003"
"562","-0.30245131254196167","-0.30245131254196167","-0.30245131254196167"
"564","-0.30323436856269836","-0.30323436856269836","-0.30323436856269836"
"566","-0.2518765926361084","-0.2518765926361084","-0.2518765926361084"
"568","-0.31111225485801697","-0.31111225485801697","-0.31111225485801697"
"570","-0.29305335879325867","-0.29305335879325867","-0.29305335879325867"
"572","-0.3207951784133911","-0.3207951784133911","-0.3207951784133911"
"574","-0.33056795597076416","-0.33056795597076416","-0.33056795597076416"
"576","-0.35149139165878296","-0.35149139165878296","-0.35149139165878296"
"578","-0.2573736608028412","-0.2573736608028412","-0.2573736608028412"
"580","-0.2381921261548996","-0.2381921261548996","-0.2381921261548996"
"582","-0.2765033543109894","-0.2765033543109894","-0.2765033543109894"
"584","-0.2437625378370285","-0.2437625378370285","-0.2437625378370285"
"586","-0.291009783744812","-0.291009783744812","-0.291009783744812"
"588","-0.2275591641664505","-0.2275591641664505","-0.2275591641664505"
"590","-0.2726750671863556","-0.2726750671863556","-0.2726750671863556"
"592","-0.3089744448661804","-0.3089744448661804","-0.3089744448661804"
"594","-0.3203761875629425","-0.3203761875629425","-0.3203761875629425"
"596","-0.303405225276947","-0.303405225276947","-0.303405225276947"
"598","-0.36020129919052124","-0.36020129919052124","-0.36020129919052124"
"600","-0.31908655166625977","-0.31908655166625977","-0.31908655166625977"
"602","-0.32204872369766235","-0.32204872369766235","-0.32204872369766235"
"604","-0.32227346301078796","-0.32227346301078796","-0.32227346301078796"
"606","-0.293150931596756","-0.293150931596756","-0.293150931596756"
"608","-0.30072879791259766","-0.30072879791259766","-0.30072879791259766"
"610","-0.3461117148399353","-0.3461117148399353","-0.3461117148399353"
"612","-0.24822555482387543","-0.24822555482387543","-0.24822555482387543"
"614","-0.2815907597541809","-0.2815907597541809","-0.2815907597541809"
"624","-0.30496641993522644","-0.30496641993522644","-0.30496641993522644"
"626","-0.32591575384140015","-0.32591575384140015","-0.32591575384140015"
"628","-0.26137685775756836","-0.26137685775756836","-0.26137685775756836"
"630","-0.23939700424671173","-0.23939700424671173","-0.23939700424671173"
"632","-0.28645390272140503","-0.28645390272140503","-0.28645390272140503"
"634","-0.342402845621109","-0.342402845621109","-0.342402845621109"
"636","-0.2391129434108734","-0.2391129434108734","-0.2391129434108734"
"638","-0.21906860172748566","-0.21906860172748566","-0.21906860172748566"
"640","-0.2718833386898041","-0.2718833386898041","-0.2718833386898041"
"642","-0.32403019070625305","-0.32403019070625305","-0.32403019070625305"
"644","-0.292807012796402","-0.292807012796402","-0.292807012796402"
"646","-0.2930826246738434","-0.2930826246738434","-0.2930826246738434"
"648","-0.3344997465610504","-0.3344997465610504","-0.3344997465610504"
"650","-0.31225043535232544","-0.31225043535232544","-0.31225043535232544"
"652","-0.34407249093055725","-0.34407249093055725","-0.34407249093055725"
"654","-0.23790192604064941","-0.23790192604064941","-0.23790192604064941"
"656","-0.29260125756263733","-0.29260125756263733","-0.29260125756263733"
"658","-0.24699439108371735","-0.24699439108371735","-0.24699439108371735"
"660","-0.2832299768924713","-0.2832299768924713","-0.2832299768924713"
"662","-0.24523872137069702","-0.24523872137069702","-0.24523872137069702"
"664","-0.25076979398727417","-0.25076979398727417","-0.25076979398727417"
"666","-0.2250117063522339","-0.2250117063522339","-0.2250117063522339"
"668","-0.23439936339855194","-0.23439936339855194","-0.23439936339855194"
"670","-0.22800271213054657","-0.22800271213054657","-0.22800271213054657"
"672","-0.2866649627685547","-0.2866649627685547","-0.2866649627685547"
"674","-0.30316489934921265","-0.30316489934921265","-0.30316489934921265"
"676","-0.30854201316833496","-0.30854201316833496","-0.30854201316833496"
"678","-0.31039565801620483","-0.31039565801620483","-0.31039565801620483"
"680","-0.26685962080955505","-0.26685962080955505","-0.26685962080955505"
"682","-0.24077929556369781","-0.24077929556369781","-0.24077929556369781"
"684","-0.27603843808174133","-0.27603843808174133","-0.27603843808174133"
"686","-0.2836116552352905","-0.2836116552352905","-0.2836116552352905"
"688","-0.3016650676727295","-0.3016650676727295","-0.3016650676727295"
"690","-0.28599730134010315","-0.28599730134010315","-0.28599730134010315"
"692","-0.28359365463256836","-0.28359365463256836","-0.28359365463256836"
"694","-0.22826027870178223","-0.22826027870178223","-0.22826027870178223"
"696","-0.2198386937379837","-0.2198386937379837","-0.2198386937379837"
"698","-0.26136013865470886","-0.26136013865470886","-0.26136013865470886"
"700","-0.31331154704093933","-0.31331154704093933","-0.31331154704093933"
"702","-0.26938608288764954","-0.26938608288764954","-0.26938608288764954"
"704","-0.2568415105342865","-0.2568415105342865","-0.2568415105342865"
"706","-0.25717660784721375","-0.25717660784721375","-0.25717660784721375"
"708","-0.2925477623939514","-0.2925477623939514","-0.2925477623939514"
"710","-0.2525021433830261","-0.2525021433830261","-0.2525021433830261"
"712","-0.20721234381198883","-0.20721234381198883","-0.20721234381198883"
"714","-0.27258846163749695","-0.27258846163749695","-0.27258846163749695"
"716","-0.25942471623420715","-0.25942471623420715","-0.25942471623420715"
"718","-0.27812838554382324","-0.27812838554382324","-0.27812838554382324"
"720","-0.24451430141925812","-0.24451430141925812","-0.24451430141925812"
"722","-0.32278189063072205","-0.32278189063072205","-0.32278189063072205"
"724","-0.24839027225971222","-0.24839027225971222","-0.24839027225971222"
"726","-0.24405762553215027","-0.24405762553215027","-0.24405762553215027"
"728","-0.2870332598686218","-0.2870332598686218","-0.2870332598686218"
"730","-0.2698637843132019","-0.2698637843132019","-0.2698637843132019"
"732","-0.28851428627967834","-0.28851428627967834","-0.28851428627967834"
"734","-0.24182111024856567","-0.24182111024856567","-0.24182111024856567"
"736","-0.2850276827812195","-0.2850276827812195","-0.2850276827812195"
"738","-0.2715754210948944","-0.2715754210948944","-0.2715754210948944"
"740","-0.17417624592781067","-0.17417624592781067","-0.17417624592781067"
"742","-0.22489969432353973","-0.22489969432353973","-0.22489969432353973"
"744","-0.3047240972518921","-0.3047240972518921","-0.3047240972518921"
"746","-0.26769277453422546","-0.26769277453422546","-0.26769277453422546"
"748","-0.26813772320747375","-0.26813772320747375","-0.26813772320747375"
"750","-0.257707804441452","-0.257707804441452","-0.257707804441452"
"752","-0.28763553500175476","-0.28763553500175476","-0.28763553500175476"
"754","-0.28030920028686523","-0.28030920028686523","-0.28030920028686523"
"756","-0.2573983073234558","-0.2573983073234558","-0.2573983073234558"
"758","-0.23267099261283875","-0.23267099261283875","-0.23267099261283875"
"760","-0.3067508935928345","-0.3067508935928345","-0.3067508935928345"
"762","-0.2889770567417145","-0.2889770567417145","-0.2889770567417145"
"764","-0.3414751887321472","-0.3414751887321472","-0.3414751887321472"
"766","-0.3014659285545349","-0.3014659285545349","-0.3014659285545349"
"768","-0.33166855573654175","-0.33166855573654175","-0.33166855573654175"
"770","-0.20790061354637146","-0.20790061354637146","-0.20790061354637146"
